Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti,Price,Yerlərin sayı,Sahiblər,Hansı bazar üçün yığılıb
Bakı,Land Rover,RR Sport,2022,Offroader / SUV,Qara,3.0 L/400 a.g./Benzin,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",178 500 USD≈ 303 450 AZN,5,1,Rəsmi diler
Bakı,Honda,e:NS1,2023,Offroader / SUV,Ağ,0.0 L/204 a.g./Elektro,0 km,Avtomat,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib",32 500 USD≈ 55 250 AZN,5,0,Avropa
Bakı,Land Rover,RR Velar,2021,Offroader / SUV,Ağ,2.0 L/250 a.g./Benzin,10 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",80 000 USD≈ 136 000 AZN,5,1,Digər
Bakı,Audi,Q7,2018,Offroader / SUV,Boz,2.0 L/252 a.g./Benzin,40 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",41 000 USD≈ 69 700 AZN,5,1,Avropa
Bakı,Porsche,Taycan,2021,Hetçbek,Mavi,0.0 L/408 a.g./Elektro,2 700 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",105 000 USD≈ 178 500 AZN,4,1,Rəsmi diler
Bakı,Infiniti,M37S,2011,Sedan,Qara,3.7 L/333 a.g./Benzin,156 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",17 000 USD≈ 28 900 AZN,5,2,Rəsmi diler
Bakı,Mercedes,190,1993,Sedan,Ağ,1.8 L/109 a.g./Benzin,550 000 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",4 850 AZN,5,1,Avropa
Bakı,BMW,X6 M,2012,Offroader / SUV,Ağ,4.4 L/555 a.g./Benzin,97 100 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",33 500 USD≈ 56 950 AZN,5,1,Avropa
Bakı,Hyundai,Sonata,1997,Sedan,Qara,2.0 L/139 a.g./Benzin,280 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",3 800 AZN,4,2,Digər
Bakı,Ford,Focus,2008,Hetçbek,Qara,1.6 L/100 a.g./Benzin,145 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",9 000 AZN,5,2,Avropa
Bakı,Mercedes,E 220,2014,Sedan,Ağ,2.2 L/170 a.g./Dizel,77 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",27 600 USD≈ 46 920 AZN,5,2,Koreya
Bakı,Mercedes,E 220,2009,Sedan,Ağ,2.2 L/170 a.g./Dizel,300 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənib",24 700 AZN,5,0,Avropa
Bakı,Opel,Astra,2006,Universal,Ağ,1.3 L/90 a.g./Dizel,188 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",12 300 AZN,5,1,Avropa
Bakı,Land Rover,Range Rover,2003,Offroader / SUV,Göy,3.0 L/177 a.g./Dizel,399 999 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",25 900 AZN,5,2,Avropa
Bakı,Volkswagen,Passat,2002,Sedan,Göy,1.8 L/160 a.g./Benzin,177 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",7 200 AZN,5,1,Amerika
Bakı,Chevrolet,Epica,2008,Sedan,Qara,2.5 L/143 a.g./Benzin,295 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",9 500 AZN,6,2,Avropa
